,voted
54695,1
46053,1
28461,0
32791,0
33975,1
17605,1
41396,0
52290,0
238,1
45124,1
28766,1
40382,1
31319,1
27082,0
3469,1
13114,1
32036,0
21547,0
29000,0
51758,0
23520,1
8531,0
35070,1
38744,0
10046,1
22304,0
44330,0
40397,1
45078,1
36129,1
26694,0
8784,1
20573,0
10779,1
50234,0
11976,0
2887,1
49871,1
32972,0
2756,1
36153,0
3644,0
6912,1
38443,0
36913,0
30452,0
49129,1
25012,1
33279,1
16622,0
50880,1
24798,0
33669,0
39503,1
5989,1
32948,1
44981,1
12049,0
1663,0
46527,1
14410,1
51040,0
5603,1
27785,1
33560,1
46726,1
28265,1
35354,0
26489,0
47151,1
28721,0
25134,1
20063,1
1256,0
4730,1
8429,1
30221,1
16221,1
36788,0
19793,1
53876,0
48795,1
19219,1
22363,1
48720,1
26312,0
49311,1
26493,0
4971,0
28432,0
40279,1
34128,0
46626,0
26097,1
36119,0
39772,1
36581,0
45653,1
41056,0
26041,1
11747,1
25330,1
20300,1
6221,1
9439,0
32711,1
50510,0
7706,0
27587,0
36553,1
50794,1
35455,1
28465,1
11,1
53777,1
38128,1
54078,1
6456,0
27980,0
35738,0
4146,1
49491,1
28645,0
3546,0
47995,1
25928,1
17807,0
15404,1
4167,1
11928,1
14414,0
37254,1
21482,1
31994,0
35862,1
28426,0
24390,1
32478,0
4006,1
29114,0
44683,1
38932,0
12205,1
51727,1
40102,0
37439,0
9429,1
9639,0
15388,1
15899,0
12119,1
31895,1
26930,1
19176,1
47933,1
12463,1
19593,0
1459,0
4540,0
124,1
37514,1
2833,1
19292,1
12240,1
36404,0
53416,0
44647,1
47711,1
12163,1
52891,0
21837,0
24502,1
52514,0
6250,0
45069,1
37397,0
51336,0
8662,1
21728,1
12756,1
37493,0
49250,1
47233,1
9538,1
27829,0
29509,1
10298,1
47678,1
33074,0
28106,0
22845,0
49315,1
32072,0
11084,1
2473,1
12682,1
50226,1
53509,0
27450,1
33173,0
52563,0
24085,1
30629,1
14436,0
51799,0
8346,1
49240,1
42984,0
33917,1
11331,1
13891,1
51947,0
22735,0
52332,0
18955,0
5846,1
50783,1
1814,1
38109,0
45090,0
35312,0
13002,1
26972,1
46422,1
46116,0
3031,1
22945,0
26005,1
47447,1
30823,0
19643,0
32026,1
41114,1
886,0
24985,1
39467,1
12502,1
49410,1
53028,1
8449,0
43851,0
50178,1
41337,0
22278,0
23464,0
24416,0
26566,1
41882,1
45603,0
33709,0
15496,1
42395,0
3430,0
17654,0
25810,1
24895,1
38116,0
42670,1
45481,0
17523,1
20465,0
11439,0
5319,0
19549,1
54609,1
12144,1
51309,0
34884,1
49420,1
6200,1
24135,0
53011,0
36001,1
44657,0
45401,0
49085,1
23091,0
44220,0
38312,0
5503,0
13318,1
22052,1
14309,1
19840,1
7506,1
16263,1
492,1
48259,1
18686,1
5265,0
28683,0
5741,1
33495,0
46724,1
38073,0
18926,1
32962,1
17884,0
34306,1
21805,1
9132,1
19632,1
39203,1
53334,1
9713,1
33260,1
13617,0
15408,1
34981,0
42275,0
22259,1
27838,1
51648,0
53848,0
3955,0
12412,1
17978,1
53140,1
34146,1
15658,1
36608,1
29582,1
37668,0
38463,1
53250,0
35634,1
24689,1
45026,0
14172,1
33314,1
8745,1
4759,0
43333,0
51954,0
19938,0
30189,0
27530,1
2051,1
13051,1
32775,0
7331,1
10900,0
46659,1
23220,0
23580,1
30401,0
15902,0
32387,0
10307,1
35544,1
48709,1
8323,0
23440,1
35760,0
5824,0
18977,1
16246,1
35304,1
1906,1
10738,1
33210,1
11228,1
1605,1
24542,0
10353,0
32490,0
23780,0
37752,0
36337,0
16525,0
47437,0
37973,1
33721,0
13255,1
53593,0
21650,0
44463,1
24351,1
29326,0
12786,0
27303,1
41620,1
11703,1
26921,0
9699,1
28268,0
46597,0
39147,1
14406,0
10543,1
167,1
26156,0
51806,0
47761,1
42768,0
2367,0
4954,0
22428,0
46430,0
50155,1
53188,0
21006,1
52216,1
40445,1
21108,1
2641,1
2789,1
29273,0
49708,1
40742,0
49266,1
24066,0
13535,1
29917,0
13977,0
46037,0
50034,1
867,1
17277,0
15029,1
44165,1
34527,0
32325,0
28576,1
17856,1
22521,0
45912,0
23502,1
10938,1
15453,0
1747,0
46652,0
3856,0
38387,0
1285,0
35450,0
12419,0
28803,0
11509,1
18381,0
29973,0
26979,0
1425,1
36182,1
12281,1
34890,0
15468,0
40719,1
36171,0
19576,0
26842,0
5423,0
30909,1
14733,1
51242,0
9107,1
27428,1
31437,1
6522,1
5344,1
24844,1
9054,1
25630,0
44913,0
29029,0
3880,0
48607,0
16912,0
15220,1
42958,1
28989,0
6350,1
4001,1
42952,1
44256,0
5403,1
26902,1
39958,1
23922,0
20082,1
38907,1
15205,1
10339,1
14980,1
21544,1
18231,1
37918,0
2978,0
15285,0
50958,0
13003,0
44237,1
48348,1
32216,0
9082,1
15828,0
25088,1
25261,0
11700,0
40729,0
36368,0
54318,1
25511,0
2412,1
53257,0
39858,1
33823,1
11735,0
11057,0
43910,1
5073,1
16474,0
54237,1
40093,0
45132,0
12924,0
27513,0
41598,1
42808,0
1715,1
42226,0
28343,1
42467,0
36521,0
30767,1
30880,0
2824,1
10464,1
40196,0
43477,1
52773,0
14425,0
51553,0
51617,0
22543,1
4383,1
47169,1
16342,1
7103,0
20537,1
7221,1
40163,1
1833,0
53716,1
46380,0
4256,0
51427,0
39262,0
48977,1
2661,0
33281,1
16642,0
44314,0
12320,0
9430,1
5488,1
20045,1
14846,0
32634,1
53280,0
6124,1
12570,0
47068,0
1227,1
22870,1
36716,0
45542,1
30118,1
26230,1
4386,1
25568,0
27906,0
53433,0
26193,1
47977,0
3994,0
54623,0
37979,0
9968,1
49100,0
2517,1
1151,1
53514,1
26236,0
27192,0
47714,1
35997,0
16864,1
51225,1
18216,0
33809,0
15421,1
52202,0
52679,1
6469,0
6355,0
40740,0
30583,1
29889,1
17359,1
9605,1
12106,1
19731,1
39063,0
45585,1
9100,0
44967,1
9833,0
43697,1
39917,0
1195,0
45386,1
3887,1
7702,1
29843,0
28731,0
43234,1
51046,1
11332,1
13370,1
39635,0
284,0
4951,1
22388,1
20746,1
6551,0
7762,1
44576,1
11987,1
37267,0
40707,0
20677,1
52128,0
39668,1
19490,0
2269,0
35656,1
34339,1
43776,1
19480,0
10184,1
27718,1
52644,1
26932,1
2903,0
26163,0
26780,0
20102,1
21944,1
44514,0
19790,1
39250,1
17496,0
51997,1
50220,1
35403,0
21886,1
7748,1
5068,1
9388,0
32858,1
18145,0
30342,0
5809,0
8615,0
4941,1
44558,0
29841,1
18435,0
3112,1
25148,1
11519,1
19835,1
13755,0
30760,0
25757,1
757,1
50754,1
40728,0
7539,1
15644,0
42022,0
53678,1
33283,0
5462,1
9400,1
39974,0
45420,0
19561,0
4243,1
49829,1
46479,1
189,1
40616,1
5419,1
16183,0
46269,0
25142,0
11492,1
13151,1
27069,0
20809,1
29068,0
39930,0
11776,1
26047,0
32201,0
46328,0
43747,0
11619,1
48833,0
29269,0
12447,1
26427,1
8137,1
25125,1
10764,1
24828,1
23476,1
34290,1
15947,0
8366,0
41159,0
47179,0
10477,0
47502,0
44741,0
44465,1
11980,0
54452,1
7927,0
48992,0
35319,1
49277,1
25240,0
11137,1
15265,1
29950,0
10321,1
54468,1
52380,1
28429,1
44873,1
11124,1
667,1
27550,0
24597,0
20227,0
48707,0
10747,1
31312,0
34512,1
25779,1
30932,0
31869,0
46112,0
17350,1
37765,1
45275,0
13059,1
17442,0
25868,0
21669,0
23222,0
45032,0
28211,0
50165,1
27483,1
49886,1
10854,1
9644,0
49521,1
9361,0
28217,0
30993,1
43559,1
7547,0
52030,1
1010,1
40358,0
36108,0
16411,1
3490,0
40891,0
35356,1
