iter	Logloss
0	0.6785868173
1	0.6635562888
2	0.6544331839
3	0.641674236
4	0.6319191014
5	0.6218732575
6	0.6140358593
7	0.6077754994
8	0.6024030682
9	0.5971956443
10	0.5926816408
11	0.5893968454
12	0.5856622947
13	0.5828033535
14	0.578485436
15	0.5766339158
16	0.5740509233
17	0.5716590706
18	0.5687727726
19	0.5670528961
20	0.5645996334
21	0.5631410539
22	0.5616655336
23	0.5602317382
24	0.5593516374
25	0.5581639448
26	0.5566259443
27	0.5560845458
28	0.554685531
29	0.5536342561
30	0.5531279761
31	0.5520288938
32	0.5514874266
33	0.5508587797
34	0.5502692035
35	0.5496278831
36	0.548996813
37	0.5480918957
38	0.5477596104
39	0.5474699365
40	0.5470957489
41	0.5468169621
42	0.5463048833
43	0.5457785277
44	0.5453468091
45	0.5450191058
46	0.5443525478
47	0.5440745747
48	0.5435269103
49	0.5432333253
50	0.5430127885
51	0.5427705085
52	0.5424805091
53	0.541986365
54	0.5416790982
55	0.5414707969
56	0.5412757932
57	0.5409883262
58	0.5408255349
59	0.540375416
60	0.5401773262
61	0.5399238251
62	0.5397448893
63	0.5395977465
64	0.5393803069
65	0.5391848386
66	0.5389706697
67	0.5387940687
68	0.5386003591
69	0.5384084841
70	0.5382095371
71	0.5380196429
72	0.5378040717
73	0.5375957584
74	0.5373548858
75	0.537212423
76	0.5370228911
77	0.536883293
78	0.5366982419
79	0.536539456
80	0.5362796901
81	0.5361225497
82	0.5359207627
83	0.5357549505
84	0.5356701625
85	0.5355447136
86	0.5352757623
87	0.5350943429
88	0.5348062741
89	0.5346518618
90	0.5345414084
91	0.5343652592
92	0.5342335104
93	0.5341201077
94	0.5339481359
95	0.5337583665
96	0.533644973
97	0.5334936758
98	0.533325572
99	0.5331880951
100	0.5330287955
101	0.5329167044
102	0.5328044006
103	0.5325971706
104	0.5324689489
105	0.5323531561
106	0.532219144
107	0.5320559847
108	0.5318714516
109	0.5317689994
110	0.5316100195
111	0.5314741558
112	0.5313503836
113	0.5310566174
114	0.5308671542
115	0.5307499269
116	0.5306324031
117	0.5304938074
118	0.5302486717
119	0.5300682256
120	0.5298671768
121	0.5297353063
122	0.5296276027
123	0.5295268835
124	0.5293740346
125	0.5292427455
126	0.5291472096
127	0.5290398173
128	0.5288967606
129	0.5287434497
130	0.528600706
131	0.5284988396
132	0.5283044854
133	0.5281950673
134	0.5280565668
135	0.5279188574
136	0.5278137384
137	0.5276129036
138	0.5274653912
139	0.5273241184
140	0.5272348154
141	0.527112003
142	0.5269971912
143	0.5268764324
144	0.5267240124
145	0.526589252
146	0.5264834076
147	0.5263908412
148	0.5262084284
149	0.5261261609
150	0.5260195752
151	0.5259040838
152	0.5257707555
153	0.5256857625
154	0.5255394099
155	0.5254103349
156	0.5252829643
157	0.5251505139
158	0.5250402695
159	0.5249776431
160	0.5248727358
161	0.524780678
162	0.5246983716
163	0.524582505
164	0.5244756065
165	0.5243643859
166	0.5241382702
167	0.5240402784
168	0.5239054199
169	0.5238324602
170	0.5237324556
171	0.5236172728
172	0.5235151274
173	0.5234228956
174	0.5232845388
175	0.5231867517
176	0.5230317725
177	0.5229242984
178	0.5228230721
179	0.5226567376
180	0.5225734327
181	0.5224941424
182	0.5223739356
183	0.5221485425
184	0.5219501486
185	0.5218400507
186	0.5216952957
187	0.5215910818
188	0.5214889122
189	0.5213625724
190	0.5212403731
191	0.5211692894
192	0.5210027849
193	0.5208435204
194	0.5206831996
195	0.5205648233
196	0.5204876381
197	0.520412452
198	0.5202898396
199	0.5200823032
200	0.5199875278
201	0.5198403555
202	0.5197402433
203	0.5195534102
204	0.5194387074
205	0.5193192322
206	0.5192348497
207	0.5191193339
208	0.51899969
