iter	Passed	Remaining
0	19	19321
1	36	18441
2	55	18331
3	72	18077
4	90	18020
5	108	18032
6	127	18023
7	144	17945
8	162	17846
9	180	17850
10	197	17796
11	215	17779
12	234	17791
13	252	17761
14	270	17773
15	287	17688
16	306	17751
17	324	17710
18	341	17634
19	358	17589
20	376	17555
21	395	17583
22	413	17547
23	430	17511
24	448	17484
25	467	17499
26	484	17457
27	502	17452
28	520	17434
29	539	17427
30	557	17427
31	574	17387
32	593	17390
33	611	17375
34	628	17336
35	646	17302
36	664	17281
37	682	17266
38	699	17246
39	718	17234
40	736	17220
41	752	17175
42	770	17147
43	789	17144
44	805	17101
45	823	17076
46	841	17070
47	858	17031
48	877	17023
49	894	16988
50	912	16976
51	930	16959
52	948	16948
53	966	16940
54	984	16921
55	1003	16913
56	1021	16894
57	1038	16859
58	1056	16855
59	1073	16819
60	1091	16795
61	1109	16779
62	1127	16775
63	1144	16744
64	1162	16723
65	1180	16706
66	1199	16701
67	1217	16691
68	1236	16685
69	1254	16673
70	1272	16654
71	1292	16658
72	1311	16653
73	1328	16627
74	1346	16607
75	1364	16592
76	1382	16568
77	1401	16561
78	1418	16537
79	1435	16503
80	1452	16480
81	1470	16463
82	1487	16437
83	1505	16414
84	1522	16391
85	1540	16375
86	1558	16355
87	1575	16331
88	1593	16310
89	1610	16287
90	1628	16267
91	1645	16237
92	1662	16213
93	1680	16201
94	1699	16192
95	1719	16187
96	1736	16168
97	1755	16158
98	1774	16146
99	1792	16131
100	1810	16113
101	1828	16099
102	1847	16086
103	1866	16080
104	1884	16064
105	1902	16043
106	1919	16018
107	1934	15977
108	1951	15950
109	1965	15904
110	1981	15869
111	1997	15833
112	2011	15791
113	2028	15763
114	2044	15732
115	2060	15699
116	2076	15669
117	2091	15632
118	2106	15593
119	2121	15560
120	2136	15521
121	2152	15487
122	2167	15455
123	2183	15423
124	2199	15397
125	2215	15366
126	2231	15336
127	2246	15306
128	2262	15278
129	2278	15249
130	2293	15214
131	2309	15184
132	2324	15154
133	2340	15123
134	2355	15089
135	2371	15065
136	2386	15030
137	2401	15000
138	2416	14970
139	2432	14940
140	2447	14912
141	2463	14884
142	2478	14853
143	2493	14821
144	2508	14792
145	2524	14765
146	2538	14732
147	2553	14701
148	2569	14674
149	2583	14641
150	2599	14615
151	2615	14592
152	2632	14571
153	2647	14541
154	2662	14515
155	2678	14490
156	2693	14461
157	2708	14435
158	2725	14414
159	2740	14385
160	2754	14352
161	2769	14325
162	2784	14298
163	2800	14277
164	2815	14248
165	2831	14226
166	2846	14199
167	2863	14179
168	2878	14154
169	2893	14127
170	2908	14098
171	2923	14074
172	2939	14052
173	2954	14023
174	2969	13998
175	2985	13976
176	3001	13956
177	3017	13933
178	3031	13905
179	3047	13881
180	3062	13855
181	3076	13827
182	3091	13803
183	3106	13777
184	3122	13757
185	3138	13733
186	3153	13709
187	3170	13693
188	3186	13672
189	3202	13652
190	3218	13633
191	3233	13609
192	3249	13588
193	3265	13566
194	3281	13548
195	3297	13526
196	3312	13500
197	3325	13471
198	3341	13448
199	3356	13426
200	3372	13404
201	3387	13381
202	3402	13359
203	3417	13335
204	3433	13314
205	3447	13289
206	3462	13264
207	3477	13242
208	3493	13220
209	3509	13202
210	3524	13180
211	3539	13156
212	3554	13132
213	3569	13110
214	3584	13088
215	3600	13068
216	3615	13045
217	3630	13023
218	3645	12999
219	3659	12975
220	3675	12954
221	3689	12928
222	3704	12906
223	3720	12888
224	3736	12869
225	3751	12847
226	3766	12827
227	3782	12805
228	3797	12785
229	3812	12763
230	3827	12743
