iter	Logloss
0	0.6887586023
1	0.6842202131
2	0.6805825364
3	0.6769048671
4	0.6739073224
5	0.6706199352
6	0.6675166499
7	0.6644819878
8	0.6619915456
9	0.6598450729
10	0.6574279692
11	0.6556018337
12	0.6535512663
13	0.6519839742
14	0.6502433642
15	0.6486226724
16	0.6471899153
17	0.6455668486
18	0.6444941421
19	0.6432715395
20	0.6420784128
21	0.6411564876
22	0.6403912726
23	0.6397546642
24	0.6388695553
25	0.6378256557
26	0.6370705348
27	0.636407453
28	0.6355550944
29	0.6350717594
30	0.6344486579
31	0.633812738
32	0.6332877823
33	0.6327834706
34	0.6323145129
35	0.6316804264
36	0.6313102898
37	0.6309565144
38	0.6305293799
39	0.6302023285
40	0.629733427
41	0.6294325097
42	0.6290853174
43	0.6287607066
44	0.6282825312
45	0.6280523337
46	0.6277928685
47	0.6274546486
48	0.6271799831
49	0.6268167163
50	0.6265952094
51	0.6263339595
52	0.6260640798
53	0.6258408332
54	0.6256474489
55	0.6254677506
56	0.6251925195
57	0.6249225127
58	0.6246327207
59	0.6244732059
60	0.6240753938
61	0.6238477509
62	0.6236054657
63	0.6234629827
64	0.6233043505
65	0.6231619378
66	0.6229901985
67	0.6227457966
68	0.6225855017
69	0.6224621404
70	0.6223086816
71	0.6221599675
72	0.6220715808
73	0.6219107141
74	0.621760303
75	0.6215593018
76	0.6213558861
77	0.6212354277
78	0.6210804981
79	0.6209713337
80	0.6208132765
81	0.6206463846
82	0.620469038
83	0.6203525941
84	0.6202713832
85	0.6201086321
86	0.6199784264
87	0.6198733451
88	0.6197549056
89	0.6196178955
90	0.6195030634
91	0.6194131661
92	0.6193145965
93	0.6191814287
94	0.6189442659
95	0.6187135617
96	0.6185387013
97	0.6184882671
98	0.6184007515
99	0.6183072569
100	0.618215307
101	0.6180915019
102	0.6179588098
103	0.6178437789
104	0.6177136477
105	0.6174947414
106	0.6173717391
107	0.6172475349
108	0.6170858645
109	0.6169394197
110	0.6168278178
111	0.6167064424
112	0.6165886102
113	0.616470486
114	0.6163406972
115	0.6162185888
116	0.6161266032
117	0.6160194861
118	0.6159547635
119	0.6158687298
120	0.6157508677
121	0.6155314193
122	0.6154078544
123	0.6153273666
124	0.6152324122
125	0.6150872444
126	0.6149667865
127	0.6148424915
128	0.6147674958
129	0.6145972636
130	0.6144790217
131	0.6143719034
132	0.6142582894
133	0.614184215
134	0.6140962857
135	0.613995386
136	0.6139242775
137	0.6138305872
138	0.6137505423
139	0.6136194624
140	0.6135290625
141	0.6134209296
142	0.6133461572
143	0.6132559232
144	0.6132085911
145	0.613085674
146	0.6129921205
147	0.6128959135
148	0.6127814599
149	0.6127110149
150	0.6125941433
151	0.6125425149
152	0.6124592452
153	0.6123401078
154	0.6122891414
155	0.6122338372
156	0.6121408998
157	0.6119949704
158	0.6118172907
159	0.6117211083
160	0.6116246998
161	0.6115487306
162	0.6114428465
163	0.6113879733
164	0.6113078683
165	0.6112215279
166	0.611102319
167	0.6110012
168	0.6109567738
169	0.6109122056
170	0.6108381147
171	0.6107554783
172	0.610682031
173	0.610579973
174	0.6104704926
175	0.6103910016
176	0.610218916
177	0.6100720412
178	0.6100026822
179	0.6099471398
180	0.609869207
181	0.6097603845
182	0.609716042
183	0.6096158284
184	0.6095513523
185	0.609451507
