iter	Passed	Remaining
0	10	10772
1	19	9694
2	28	9507
3	37	9254
4	46	9154
5	54	9068
6	63	9070
7	72	8982
8	81	8950
9	90	8973
10	99	8926
11	108	8958
12	117	8926
13	126	8881
14	134	8835
15	144	8873
16	152	8842
17	162	8839
18	170	8808
19	179	8783
20	188	8782
21	197	8763
22	205	8745
23	214	8730
24	224	8748
25	233	8730
26	242	8733
27	251	8716
28	259	8695
29	268	8678
30	277	8666
31	286	8672
32	295	8661
33	304	8644
34	313	8641
35	322	8643
36	332	8641
37	342	8671
38	351	8656
39	360	8641
40	369	8641
41	379	8645
42	388	8639
43	396	8619
44	405	8608
45	414	8593
46	423	8588
47	432	8574
48	440	8553
49	449	8535
50	458	8534
51	468	8536
52	477	8524
53	485	8511
54	494	8494
55	503	8491
56	512	8473
57	521	8469
58	530	8458
59	538	8444
60	547	8428
61	556	8425
62	565	8410
63	574	8398
64	583	8393
65	592	8383
66	601	8382
67	610	8367
68	619	8363
69	633	8417
70	644	8430
71	653	8427
72	662	8412
73	671	8399
74	680	8390
75	689	8377
76	697	8363
77	706	8349
78	715	8339
79	724	8327
80	733	8324
81	742	8310
82	750	8295
83	759	8284
84	769	8279
85	777	8268
86	787	8263
87	796	8251
88	804	8238
89	814	8231
90	822	8219
91	832	8219
92	841	8205
93	850	8195
94	858	8180
95	868	8181
96	877	8167
97	886	8159
98	896	8154
99	904	8144
100	914	8141
101	923	8131
102	932	8120
103	940	8107
104	951	8107
105	960	8101
106	969	8089
107	977	8076
108	986	8063
109	995	8057
110	1004	8047
111	1014	8041
112	1022	8028
113	1031	8017
114	1040	8005
115	1049	8000
116	1058	7987
117	1067	7977
118	1076	7968
119	1085	7957
120	1094	7952
121	1103	7939
122	1111	7928
123	1121	7925
124	1132	7929
125	1142	7923
126	1151	7914
127	1160	7904
128	1169	7894
129	1179	7890
130	1187	7880
131	1197	7875
132	1206	7865
133	1215	7856
134	1224	7847
135	1233	7837
136	1242	7825
137	1251	7814
138	1260	7807
139	1269	7795
140	1278	7791
141	1287	7778
142	1296	7769
143	1305	7759
144	1314	7753
145	1324	7747
146	1333	7736
147	1341	7725
148	1350	7713
149	1360	7706
150	1368	7693
151	1377	7683
152	1388	7687
153	1398	7680
154	1407	7674
155	1416	7664
156	1425	7654
157	1434	7642
158	1443	7632
159	1451	7620
160	1462	7622
161	1471	7613
162	1481	7605
163	1491	7601
164	1499	7590
165	1509	7584
166	1518	7573
167	1527	7562
168	1536	7555
169	1545	7544
170	1553	7533
171	1562	7522
172	1571	7514
173	1580	7504
174	1590	7497
175	1599	7487
176	1607	7474
177	1616	7463
178	1625	7457
179	1635	7448
180	1644	7439
181	1652	7427
182	1661	7416
183	1670	7407
184	1679	7397
185	1688	7389
186	1697	7378
187	1705	7368
188	1714	7356
189	1724	7349
190	1732	7338
191	1741	7327
192	1750	7317
193	1759	7309
194	1769	7302
195	1777	7291
196	1786	7282
197	1795	7271
198	1804	7264
199	1813	7255
200	1823	7247
201	1831	7236
202	1840	7226
203	1849	7218
204	1858	7207
205	1867	7198
206	1876	7190
207	1885	7180
208	1894	7169
209	1903	7160
210	1912	7150
211	1920	7140
212	1929	7129
213	1939	7122
214	1948	7114
215	1957	7105
216	1966	7094
217	1975	7085
218	1984	7077
219	1993	7066
220	2002	7058
221	2011	7050
222	2020	7040
223	2030	7032
224	2039	7023
225	2048	7015
226	2057	7006
227	2066	6996
228	2074	6985
229	2084	6979
230	2093	6968
231	2101	6958
232	2110	6946
233	2119	6939
234	2129	6931
235	2137	6920
236	2146	6910
237	2155	6900
238	2164	6893
239	2173	6882
240	2182	6874
241	2191	6863
242	2199	6852
243	2208	6842
244	2217	6834
245	2226	6823
246	2234	6813
247	2244	6805
248	2253	6796
249	2262	6787
250	2271	6777
251	2279	6767
252	2288	6756
253	2298	6749
254	2306	6739
255	2316	6732
256	2325	6722
257	2334	6713
258	2343	6705
259	2352	6695
260	2361	6687
261	2370	6677
262	2379	6666
263	2388	6657
264	2397	6649
265	2405	6638
266	2414	6629
267	2423	6620
268	2432	6611
269	2442	6604
270	2451	6594
271	2460	6585
272	2468	6574
273	2478	6566
274	2486	6556
275	2496	6547
276	2504	6537
277	2513	6527
278	2521	6516
279	2531	6508
280	2540	6500
281	2549	6491
282	2558	6481
283	2566	6470
284	2576	6463
285	2585	6454
286	2594	6445
287	2603	6435
288	2612	6427
289	2621	6418
290	2631	6410
291	2639	6400
292	2648	6390
293	2657	6382
294	2666	6372
295	2676	6364
296	2684	6354
297	2694	6346
298	2702	6336
299	2711	6327
300	2720	6318
301	2729	6308
302	2738	6299
303	2747	6289
304	2757	6282
305	2765	6272
306	2774	6262
307	2783	6253
308	2793	6246
309	2802	6237
310	2811	6228
311	2819	6218
312	2828	6209
313	2838	6201
314	2847	6191
315	2857	6185
316	2866	6175
317	2874	6165
318	2883	6155
319	2892	6147
320	2901	6137
321	2910	6127
322	2919	6118
323	2928	6109
324	2937	6101
325	2946	6091
326	2955	6081
327	2963	6071
328	2973	6063
329	2981	6054
330	2991	6046
331	2999	6035
332	3008	6026
333	3017	6017
334	3026	6008
335	3036	6000
336	3044	5990
337	3053	5980
338	3061	5970
339	3071	5962
340	3080	5952
341	3088	5943
342	3097	5933
343	3106	5924
344	3115	5915
345	3124	5906
346	3133	5896
347	3142	5888
348	3153	5881
349	3161	5871
350	3171	5864
351	3180	5854
352	3188	5844
353	3198	5836
354	3207	5827
355	3215	5817
356	3224	5808
357	3234	5800
358	3243	5790
359	3252	5782
360	3261	5772
361	3270	5763
362	3279	5754
363	3288	5746
364	3297	5737
365	3306	5728
366	3315	5718
367	3323	5708
368	3333	5700
369	3342	5690
370	3351	5682
371	3360	5673
372	3369	5663
373	3378	5654
374	3387	5645
375	3395	5635
376	3404	5625
377	3413	5617
378	3422	5607
379	3432	5599
380	3441	5591
381	3450	5581
