iter	Passed	Remaining
0	21	21693
1	35	17779
2	45	15225
3	56	14170
4	67	13427
5	77	12870
6	89	12628
7	99	12392
8	110	12119
9	120	11909
10	132	11880
11	142	11717
12	153	11663
13	163	11541
14	175	11492
15	187	11505
16	199	11520
17	209	11441
18	220	11386
19	231	11350
20	242	11300
21	254	11304
22	265	11264
23	275	11216
24	287	11201
25	298	11185
26	309	11146
27	320	11117
28	331	11108
29	342	11082
30	353	11062
31	364	11021
32	374	10977
33	386	10989
34	397	10967
35	408	10949
36	419	10916
37	430	10904
38	442	10892
39	452	10864
40	463	10833
41	473	10809
42	485	10796
43	496	10792
44	507	10768
45	518	10754
46	529	10741
47	541	10744
48	552	10714
49	562	10688
50	574	10683
51	584	10657
52	595	10648
53	606	10627
54	617	10613
55	629	10607
56	640	10598
57	651	10586
58	662	10567
59	673	10557
60	684	10533
61	695	10524
62	706	10507
63	717	10487
64	729	10489
65	740	10482
66	750	10456
67	761	10434
68	772	10423
69	783	10404
70	794	10390
71	804	10373
72	815	10350
73	826	10342
74	837	10334
75	848	10320
76	859	10302
77	870	10289
78	880	10270
79	891	10256
80	902	10244
81	913	10223
82	924	10213
83	935	10197
84	945	10181
85	956	10169
86	967	10150
87	977	10132
88	988	10115
89	998	10096
90	1009	10085
91	1021	10084
92	1032	10066
93	1042	10052
94	1054	10041
95	1064	10026
96	1076	10020
97	1086	10003
98	1097	9986
99	1111	10004
100	1122	9994
101	1133	9978
102	1143	9960
103	1161	10002
104	1175	10016
105	1185	10001
106	1199	10014
107	1221	10089
108	1241	10148
109	1259	10192
110	1272	10189
111	1283	10172
112	1295	10167
113	1307	10159
114	1318	10144
115	1328	10124
116	1339	10105
117	1350	10090
118	1360	10070
119	1371	10056
120	1381	10038
121	1392	10018
122	1402	10003
123	1413	9987
124	1424	9969
125	1434	9953
126	1445	9939
127	1456	9922
128	1468	9911
129	1478	9896
130	1489	9879
131	1500	9866
132	1511	9853
133	1522	9837
134	1532	9819
135	1543	9804
136	1554	9790
137	1566	9782
138	1576	9767
139	1588	9755
140	1599	9746
141	1610	9730
142	1620	9713
143	1631	9699
144	1642	9686
145	1653	9673
146	1665	9663
147	1675	9647
148	1685	9628
149	1696	9613
150	1707	9600
151	1718	9589
152	1729	9574
153	1739	9558
154	1751	9547
155	1762	9535
156	1772	9518
157	1782	9500
158	1793	9487
159	1804	9471
160	1815	9460
161	1825	9444
162	1836	9429
163	1847	9420
164	1859	9410
